구분1,구분2,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
운영서비스,노선체계적절성,5.17,5.06,4.88,4.89,4.86,4.89,4.79,4.57,4.77,4.63,4.55,4.56,4.64,4.86,4.56,4.87,5.02
운영서비스,배차간격적절성,4.72,4.66,4.57,4.4,4.43,4.56,4.34,4.28,4.25,4.85,4.12,4.08,4.26,4.56,4.1,4.5,4.64
운영서비스,이용요금합리성,4.91,4.78,4.69,4.69,4.68,4.71,4.57,4.53,4.56,4.5,4.43,4.44,4.42,4.59,4.42,4.66,4.69
운영서비스,대중교통운영체계구축,4.94,4.7,4.69,4.58,4.53,4.75,4.43,4.57,4.5,4.35,4.27,4.29,4.41,4.72,4.32,4.6,4.68
이용환경서비스,기사/역무원친절도,4.61,4.6,4.36,4.42,4.45,4.72,4.44,4.6,4.35,4.97,4.35,4.36,4.41,4.52,4.23,4.51,4.72
이용환경서비스,내부시설이용편리성,4.6,4.58,4.41,4.48,4.5,4.73,4.4,4.55,4.29,4.6,4.39,4.35,4.41,4.49,4.27,4.56,4.6
이용환경서비스,교통약자시설,4.59,4.57,4.45,4.43,4.45,4.79,4.39,4.47,4.27,4.57,4.4,4.39,4.4,4.54,4.28,4.53,4.62
쾌적환경서비스,차량내부혼잡도,3.73,3.98,4.21,3.81,4.15,4.3,4.16,4.7,3.66,5.21,4.3,4.37,4.45,4.73,4.22,4.4,4.71
쾌적환경서비스,이용시설청결성,4.44,4.43,4.58,4.25,4.46,4.7,4.49,4.91,4.16,4.56,4.49,4.47,4.51,4.79,4.39,4.6,4.96
안전환경서비스,(버스)급출발/급제동/차로변경/안전거리확보,4.37,4.17,4.27,3.93,4.37,4.59,4.31,4.69,4.09,4.58,4.4,4.47,4.49,4.72,4.33,4.45,4.75
안전환경서비스,(버스)비상시대처방안안내,3.91,4.22,4.23,4,4.26,4.52,4.41,4.67,3.87,4.58,4.41,4.37,4.42,4.52,4.35,4.49,4.85
안전환경서비스,(지하철)급출발/급정거/정확한위치정차,4.76,4.85,4.96,4.78,5.02,5.01,,,4.64,4.81,,4.66,,,4.48,4.91,
안전환경서비스,(지하철)비상시대처방안안내,4.68,4.71,4.69,4.71,4.92,4.9,,,4.48,4.94,,4.45,,,4.36,4.86,
정보제공서비스,대중교통정보제공시스템구축,5.08,4.83,4.88,4.79,4.69,4.94,4.88,4.93,4.73,4.63,4.63,4.61,4.64,4.89,4.54,4.86,5.12
정보제공서비스,대중교통제공정보정확성,5.04,4.82,4.81,4.69,4.65,4.91,4.87,4.74,4.66,4.69,4.61,4.66,4.67,4.86,4.51,4.89,5.3
정보제공서비스,대중교통변경정보제공,4.98,4.79,4.83,4.77,4.7,4.89,4.83,4.52,4.61,4.52,4.51,4.57,4.5,4.77,4.46,4.82,5.1
환승서비스,환승노선(체계)구축,4.84,4.79,4.68,4.66,4.54,4.74,4.74,4.93,4.55,4.55,4.48,4.5,4.41,4.77,4.5,4.84,5
환승서비스,환승정보제공적절성,4.78,4.69,4.69,4.59,4.62,4.69,4.64,4.67,4.47,4.47,4.4,4.4,4.34,4.66,4.43,4.83,4.9
환승서비스,환승요금적절성,4.88,4.9,5.05,4.74,4.8,5.13,4.88,4.9,4.63,4.87,4.78,4.75,4.82,4.99,4.79,5,5.23
,만족도평균,4.685789474,4.638421053,4.627894737,4.505789474,4.583157895,4.761578947,4.562941176,4.660588235,4.396842105,4.677894737,4.442352941,4.460526316,4.482352941,4.704705882,4.396842105,4.693684211,4.875882353
