"구분1","평일","토요일","일요일"
"서울","9627691","7580744","5518806"
"부산","2159357","1831153","1350244"
"대구","911206","780327","560086"
"인천","1338555","1078431","814188"
"광주","373329","278972","203683"
"대전","449854","356822","264150"
"울산","254865","199186","139029"
"세종","43265","29925","23342"
"경기","5016727","3943352","2918060"
"강원","146891","115676","85736"
"충북","190220","140266","102954"
"충남","271870","209578","160626"
"전북","197318","138234","96766"
"전남","194426","152040","110033"
"경북","270380","212519","151663"
"경남","587494","466147","336659"
"제주","148335","112786","91217"
